Epoch [   1] | Train Loss: 0.092164 | Val Loss: 0.014357 | Train Acc: 0.9787 | Val Acc: 0.9952 | Time: 14.84s
Epoch [   2] | Train Loss: 0.020764 | Val Loss: 0.011578 | Train Acc: 0.9937 | Val Acc: 0.9960 | Time: 14.28s
Epoch [   3] | Train Loss: 0.016207 | Val Loss: 0.011767 | Train Acc: 0.9947 | Val Acc: 0.9963 | Time: 15.20s
Epoch [   4] | Train Loss: 0.016184 | Val Loss: 0.018491 | Train Acc: 0.9968 | Val Acc: 0.9934 | Time: 14.22s
Epoch [   5] | Train Loss: 0.011899 | Val Loss: 0.006560 | Train Acc: 0.9967 | Val Acc: 0.9979 | Time: 14.24s
Epoch [   6] | Train Loss: 0.009423 | Val Loss: 0.009818 | Train Acc: 0.9966 | Val Acc: 0.9974 | Time: 14.40s
Epoch [   7] | Train Loss: 0.012475 | Val Loss: 0.012897 | Train Acc: 0.9963 | Val Acc: 0.9958 | Time: 15.19s
Epoch [   8] | Train Loss: 0.007881 | Val Loss: 0.011579 | Train Acc: 0.9977 | Val Acc: 0.9968 | Time: 14.02s
Epoch [   9] | Train Loss: 0.009130 | Val Loss: 0.006667 | Train Acc: 0.9975 | Val Acc: 0.9979 | Time: 13.95s
Epoch [  10] | Train Loss: 0.007613 | Val Loss: 0.009726 | Train Acc: 0.9976 | Val Acc: 0.9968 | Time: 14.45s
Epoch [  11] | Train Loss: 0.007609 | Val Loss: 0.008344 | Train Acc: 0.9978 | Val Acc: 0.9974 | Time: 15.76s
Epoch [  12] | Train Loss: 0.005845 | Val Loss: 0.007369 | Train Acc: 0.9985 | Val Acc: 0.9979 | Time: 14.64s
Epoch [  13] | Train Loss: 0.005686 | Val Loss: 0.013350 | Train Acc: 0.9982 | Val Acc: 0.9963 | Time: 14.65s
Epoch [  14] | Train Loss: 0.005542 | Val Loss: 0.005632 | Train Acc: 0.9984 | Val Acc: 0.9984 | Time: 14.52s
Epoch [  15] | Train Loss: 0.005478 | Val Loss: 0.006471 | Train Acc: 0.9986 | Val Acc: 0.9971 | Time: 15.73s
Epoch [  16] | Train Loss: 0.005854 | Val Loss: 0.015278 | Train Acc: 0.9986 | Val Acc: 0.9968 | Time: 14.36s
Epoch [  17] | Train Loss: 0.006292 | Val Loss: 0.004523 | Train Acc: 0.9982 | Val Acc: 0.9981 | Time: 14.62s
Epoch [  18] | Train Loss: 0.004099 | Val Loss: 0.005740 | Train Acc: 0.9991 | Val Acc: 0.9984 | Time: 14.77s
Epoch [  19] | Train Loss: 0.004557 | Val Loss: 0.013884 | Train Acc: 0.9989 | Val Acc: 0.9958 | Time: 14.77s
Epoch [  20] | Train Loss: 0.004893 | Val Loss: 0.006444 | Train Acc: 0.9987 | Val Acc: 0.9979 | Time: 14.46s
Epoch [  21] | Train Loss: 0.002573 | Val Loss: 0.009062 | Train Acc: 0.9993 | Val Acc: 0.9979 | Time: 14.48s
Epoch [  22] | Train Loss: 0.005390 | Val Loss: 0.003919 | Train Acc: 0.9987 | Val Acc: 0.9995 | Time: 15.49s
Epoch [  23] | Train Loss: 0.004611 | Val Loss: 0.004092 | Train Acc: 0.9987 | Val Acc: 0.9992 | Time: 14.48s
Epoch [  24] | Train Loss: 0.002920 | Val Loss: 0.003172 | Train Acc: 0.9993 | Val Acc: 0.9992 | Time: 14.39s
Epoch [  25] | Train Loss: 0.003144 | Val Loss: 0.003885 | Train Acc: 0.9993 | Val Acc: 0.9989 | Time: 14.50s
Epoch [  26] | Train Loss: 0.005041 | Val Loss: 0.002916 | Train Acc: 0.9986 | Val Acc: 0.9995 | Time: 16.54s
Epoch [  27] | Train Loss: 0.004819 | Val Loss: 0.003339 | Train Acc: 0.9989 | Val Acc: 0.9992 | Time: 14.51s
Epoch [  28] | Train Loss: 0.002839 | Val Loss: 0.010897 | Train Acc: 0.9990 | Val Acc: 0.9971 | Time: 14.57s
Epoch [  29] | Train Loss: 0.005650 | Val Loss: 0.010236 | Train Acc: 0.9988 | Val Acc: 0.9968 | Time: 15.29s
Epoch [  30] | Train Loss: 0.003132 | Val Loss: 0.003436 | Train Acc: 0.9991 | Val Acc: 0.9992 | Time: 14.52s
Epoch [  31] | Train Loss: 0.002238 | Val Loss: 0.006441 | Train Acc: 0.9994 | Val Acc: 0.9981 | Time: 14.27s
Epoch [  32] | Train Loss: 0.003239 | Val Loss: 0.005853 | Train Acc: 0.9989 | Val Acc: 0.9987 | Time: 14.38s
