request_id,date,hospital,region,blood_type,units_requested,urgency,reason,fulfilled,response_time_min,donors_matched
REQ-2026-00001,2026-02-08,CHU Ibn Sina,Rabat-Salé-Kénitra,O+,2,medium,Post-Operative Care,1,32,9
REQ-2023-00002,2023-07-29,CHU Mohammed VI,Marrakech-Safi,O+,6,critical,Emergency Surgery,1,32,6
REQ-2026-00003,2026-01-06,Centre Régional Transfusion Sanguine Fès,Fès-Meknès,B+,4,low,Organ Transplant,1,25,9
REQ-2024-00004,2024-01-31,Centre Régional Transfusion Sanguine Fès,Fès-Meknès,O+,4,low,Chronic Disease Treatment,1,46,3
REQ-2023-00005,2023-04-29,CHU Mohammed VI,Marrakech-Safi,A+,6,medium,Pediatric Care,1,36,11
REQ-2025-00006,2025-03-05,Hôpital Cheikh Zaïd,Rabat-Salé-Kénitra,O+,3,medium,Emergency Surgery,1,4,2
REQ-2025-00007,2025-01-26,Hôpital Régional Oujda,Oriental,O+,4,high,Organ Transplant,1,23,2
REQ-2025-00008,2025-08-18,Hôpital Cheikh Zaïd,Rabat-Salé-Kénitra,AB+,2,medium,Accident Emergency,1,5,12
REQ-2024-00009,2024-12-09,Centre Régional Transfusion Sanguine Casablanca,Casablanca-Settat,O+,6,medium,Maternal Care,1,38,9
REQ-2024-00010,2024-10-04,CHU Hassan II,Fès-Meknès,O+,5,low,Pediatric Care,1,43,2
REQ-2025-00011,2025-10-27,CHU Ibn Rochd,Casablanca-Settat,O+,4,critical,Chronic Disease Treatment,1,19,2
REQ-2025-00012,2025-09-09,CHU Ibn Rochd,Casablanca-Settat,O+,1,medium,Emergency Surgery,1,18,7
REQ-2024-00013,2024-07-23,CHU Souss Massa,Souss-Massa,AB+,1,high,Pediatric Care,1,50,8
REQ-2023-00014,2023-04-24,Hôpital Militaire Rabat,Rabat-Salé-Kénitra,O-,5,low,Emergency Surgery,1,60,6
REQ-2023-00015,2023-11-02,Hôpital Cheikh Zaïd,Rabat-Salé-Kénitra,O+,5,low,Post-Operative Care,1,18,12
REQ-2024-00016,2024-08-11,Centre Régional Transfusion Sanguine Fès,Fès-Meknès,A+,2,medium,Scheduled Transfusion,1,36,7
REQ-2024-00017,2024-12-24,CHU Hassan II,Fès-Meknès,B+,4,high,Post-Operative Care,1,41,5
REQ-2024-00018,2024-05-15,CHU Mohammed VI Tanger,Tanger-Tétouan-Al Hoceïma,A+,5,high,Maternal Care,1,9,2
REQ-2025-00019,2025-04-19,Centre Régional Transfusion Sanguine Casablanca,Casablanca-Settat,O-,4,high,Maternal Care,1,38,2
REQ-2025-00020,2025-05-17,CHU Mohammed VI Tanger,Tanger-Tétouan-Al Hoceïma,A+,3,high,Post-Operative Care,1,24,4
REQ-2025-00021,2025-11-20,CHU Hassan II,Fès-Meknès,B+,6,medium,Burn Treatment,1,8,3
REQ-2025-00022,2025-06-18,CHU Mohammed VI Tanger,Tanger-Tétouan-Al Hoceïma,A+,1,medium,Burn Treatment,1,40,6
REQ-2025-00023,2025-07-27,CHU Souss Massa,Souss-Massa,B+,1,high,Maternal Care,1,44,7
REQ-2023-00024,2023-03-30,CHU Mohammed VI,Marrakech-Safi,A-,1,low,Accident Emergency,1,40,6
REQ-2023-00025,2023-03-04,CHU Mohammed VI,Marrakech-Safi,O+,9,critical,Accident Emergency,1,51,5
REQ-2025-00026,2025-08-06,Hôpital Militaire Rabat,Rabat-Salé-Kénitra,A+,1,medium,Burn Treatment,1,8,12
REQ-2024-00027,2024-02-22,Hôpital Cheikh Zaïd,Rabat-Salé-Kénitra,O+,6,medium,Maternal Care,0,,0
REQ-2025-00028,2025-04-22,CHU Hassan II,Fès-Meknès,AB+,1,high,Pediatric Care,1,20,1
REQ-2023-00029,2023-10-27,CHU Souss Massa,Souss-Massa,O+,2,medium,Post-Operative Care,1,6,4
REQ-2023-00030,2023-05-02,Centre Régional Transfusion Sanguine Casablanca,Casablanca-Settat,B+,4,medium,Organ Transplant,1,3,8
REQ-2024-00031,2024-01-28,CHU Hassan II,Fès-Meknès,A+,2,medium,Emergency Surgery,1,28,9
REQ-2023-00032,2023-11-27,CHU Mohammed VI,Marrakech-Safi,AB+,4,high,Accident Emergency,1,46,6
REQ-2024-00033,2024-03-22,Hôpital Cheikh Zaïd,Rabat-Salé-Kénitra,O+,6,high,Burn Treatment,1,29,10
REQ-2024-00034,2024-07-02,CHU Mohammed VI,Marrakech-Safi,A+,2,medium,Maternal Care,1,46,10
REQ-2025-00035,2025-07-21,CHU Mohammed VI Tanger,Tanger-Tétouan-Al Hoceïma,O+,6,medium,Emergency Surgery,1,11,6
REQ-2024-00036,2024-10-06,CHU Hassan II,Fès-Meknès,O+,5,medium,Organ Transplant,1,22,5
REQ-2025-00037,2025-10-28,Centre Régional Transfusion Sanguine Casablanca,Casablanca-Settat,A+,5,critical,Emergency Surgery,1,10,2
REQ-2025-00038,2025-12-26,Centre Régional Transfusion Sanguine Rabat,Rabat-Salé-Kénitra,O+,2,high,Scheduled Transfusion,1,30,11
REQ-2024-00039,2024-10-27,CHU Hassan II,Fès-Meknès,B-,2,critical,Burn Treatment,1,56,5
REQ-2023-00040,2023-03-24,Hôpital Cheikh Zaïd,Rabat-Salé-Kénitra,B+,5,medium,Post-Operative Care,1,58,8
REQ-2023-00041,2023-09-09,CHU Ibn Rochd,Casablanca-Settat,A-,1,high,Accident Emergency,1,3,3
REQ-2023-00042,2023-05-19,Hôpital Régional Oujda,Oriental,A+,5,high,Accident Emergency,1,7,9
REQ-2023-00043,2023-01-29,Hôpital Régional Oujda,Oriental,O+,6,low,Burn Treatment,1,3,5
REQ-2025-00044,2025-03-11,Centre Régional Transfusion Sanguine Fès,Fès-Meknès,A+,3,high,Accident Emergency,1,28,4
REQ-2024-00045,2024-09-12,CHU Hassan II,Fès-Meknès,A+,3,high,Burn Treatment,1,52,5
REQ-2024-00046,2024-08-09,Centre Régional Transfusion Sanguine Rabat,Rabat-Salé-Kénitra,O+,4,high,Post-Operative Care,1,32,6
